,City,Country,Latitude,Longitude,Date,Tempature,Humidity,Clouds,Wind
0,illoqqortoormiut,gl,75.29462604655035,-28.322496212400097,1510931332.0,-1.96,65.0,56.0,8.43
1,maamba,zm,-17.75118147355515,26.818084157312228,1510931332.0,90.38,22.0,0.0,3.74
2,kavaratti,in,9.721065820193445,62.434083987568414,1510931333.0,78.77,100.0,76.0,14.7
3,mar del plata,ar,-51.654818933478815,-43.687385963919894,1510931333.0,39.26,100.0,32.0,8.32
4,lamu,ke,-2.8326080568545535,41.434593107448364,1510931334.0,83.99,98.0,0.0,10.67
5,coahuayana,mx,-1.448499966496371,-114.20516589097286,1510931335.0,70.99,97.0,80.0,17.38
6,bjornevatn,no,69.80492899226797,29.8460856107304,1510930200.0,20.5,92.0,90.0,3.36
7,bambous virieux,mu,-23.994527547639024,67.79143659364374,1510931336.0,74.68,100.0,8.0,16.93
8,lavrentiya,ru,70.2619066650199,-167.8862952140688,1510931336.0,30.89,100.0,88.0,11.01
9,punta arenas,cl,-73.31021774838122,-105.0252379321399,1510931337.0,24.68,100.0,76.0,13.91
10,jamestown,sh,-21.45843829720829,-5.469830744997324,1510931338.0,68.87,100.0,0.0,19.84
12,ancud,cl,-41.693239903695165,-95.79826149141425,1510931340.0,53.08,99.0,88.0,8.43
13,bluff,nz,-67.22055238105702,156.52314152906774,1510931340.0,0.34,72.0,8.0,5.75
14,east london,za,-76.89657443398694,54.87977856081031,1510931341.0,-28.51,29.0,0.0,12.8
16,kapaa,us,24.730185563511498,-165.75560461199947,1510931342.0,73.55,100.0,92.0,16.6
17,tomatlan,mx,19.49748586582534,-108.1015360671193,1510931342.0,80.12,100.0,0.0,8.21
18,dikson,ru,86.1525372074436,84.19193849691572,1510931343.0,1.37,73.0,24.0,10.0
19,chokurdakh,ru,88.26077514446081,147.18893571457232,1510931343.0,14.38,86.0,48.0,12.24
20,belushya guba,ru,73.26920903646618,52.13826883173843,1510931344.0,30.44,100.0,0.0,30.36
21,umba,ru,66.24013651526923,35.328981173033924,1510931344.0,32.78,100.0,88.0,8.43
22,harper,lr,1.4292375958877699,-8.855701985449059,1510931345.0,74.27,100.0,92.0,1.39
23,iqaluit,ca,56.865927840911496,-69.47551131646163,1510931346.0,0.2,73.0,36.0,8.77
24,hobart,au,-57.6786761027144,150.54067628417528,1510931346.0,37.19,86.0,92.0,38.74
25,ushuaia,ar,-72.06566894264273,-60.51856431537681,1510931347.0,20.36,100.0,80.0,10.11
26,srednekolymsk,ru,74.88732305875968,154.6074826954826,1510931347.0,8.93,80.0,36.0,22.3
27,havre-saint-pierre,ca,51.549034651119996,-62.52706419350375,1510931348.0,25.04,87.0,92.0,4.97
29,acheng,cn,45.353615154643364,127.00945845535495,1510927200.0,8.6,78.0,0.0,6.71
30,hithadhoo,mv,-12.352620234792909,82.44306056941576,1510931349.0,79.54,100.0,92.0,20.62
31,petropavlovsk-kamchatskiy,ru,45.451687376422456,163.5795281419534,1510931350.0,45.02,100.0,44.0,19.17
32,qui nhon,vn,15.32071864865739,113.82687633537881,1510931350.0,81.92,100.0,36.0,9.66
33,yellowknife,ca,73.20872994633979,-118.17393509281686,1510931351.0,-31.98,0.0,20.0,3.62
34,povenets,ru,62.27798173214936,35.28784319980781,1510931351.0,34.36,94.0,88.0,18.05
35,longmont,us,40.23905254380816,-105.16070595877711,1510929360.0,55.08,38.0,1.0,10.29
36,albany,au,-84.57273878626434,96.45733677339001,1510931353.0,-41.47,0.0,0.0,9.78
38,doka,sd,13.637930690824064,34.81606485812989,1510931353.0,96.68,18.0,8.0,2.73
39,ayagoz,kz,47.696914876266135,80.40831102967906,1510931354.0,12.62,57.0,0.0,2.95
40,pauini,br,-7.57407727265246,-67.70626710670966,1510931354.0,80.44,87.0,88.0,4.18
41,mapiri,bo,-15.396639154776167,-68.22322144603089,1510931355.0,62.53,81.0,76.0,3.06
42,new norfolk,au,-55.22805737673304,137.47510130232718,1510931355.0,41.78,84.0,92.0,38.86
